sub_tag,ses,run,n_trials_paired_finite,adjacent_diff_ratio_sum_projection,adjacent_diff_ratio_sum_behavior_col2,n_adjacent_pairs_projection,n_adjacent_pairs_behavior_col2,variability_preprocessing,projection_source,projection_path,behaviour_path
sub-pd001,1,1,74,52.04108667539396,74.39974337867466,73,73,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd001/active_bold_sub-pd001_ses-1_run-1.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD001_ses_1_run_1.npy
sub-pd001,1,2,68,47.480884366802925,60.50651310453298,67,67,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd001/active_bold_sub-pd001_ses-1_run-2.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD001_ses_1_run_2.npy
sub-pd002,1,1,81,41.9370472603333,83.06239679625409,80,80,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd002/active_bold_sub-pd002_ses-1_run-1.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD002_ses_1_run_1.npy
sub-pd002,1,2,81,67.94630840473297,81.69617745322924,80,80,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd002/active_bold_sub-pd002_ses-1_run-2.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD002_ses_1_run_2.npy
sub-pd003,1,1,81,69.69025900137768,50.821374689845534,80,80,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd003/active_bold_sub-pd003_ses-1_run-1.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD003_ses_1_run_1.npy
sub-pd003,1,2,80,75.18691179973868,84.75996614910352,79,79,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd003/active_bold_sub-pd003_ses-1_run-2.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD003_ses_1_run_2.npy
sub-pd004,1,1,72,55.90699282729111,75.30168787080794,71,71,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd004/active_bold_sub-pd004_ses-1_run-1.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD004_ses_1_run_1.npy
sub-pd004,1,2,75,66.85516833499284,65.55392473862359,74,74,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd004/active_bold_sub-pd004_ses-1_run-2.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD004_ses_1_run_2.npy
sub-pd007,1,1,80,55.63678834232408,79.74229945975752,79,79,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd007/active_bold_sub-pd007_ses-1_run-1.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD007_ses_1_run_1.npy
sub-pd007,1,2,81,66.29575738791947,87.07378868396421,80,80,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd007/active_bold_sub-pd007_ses-1_run-2.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD007_ses_1_run_2.npy
