subject,off_label,on_label,within_roi_off_z,within_roi_on_z,within_roi_off_r,within_roi_on_r,within_roi_delta_z_on_minus_off,within_roi_delta_r_on_minus_off,between_roi_off_z,between_roi_on_z,between_roi_off_r,between_roi_on_r,between_roi_delta_z_on_minus_off,between_roi_delta_r_on_minus_off,within_minus_between_delta_z,within_minus_between_delta_r
sub-pd001,sub-pd001_ses-1,sub-pd001_ses-2,0.1717334525102838,0.1671956351382598,0.17006485807082072,0.16565491071726704,-0.0045378173720239945,-0.004409947353553684,0.015458413685658617,0.006268872657718172,0.015457182476006978,0.006268790539359158,-0.009189541027940446,-0.00918839193664782,0.004651723655916451,0.004778444583094137
sub-pd002,sub-pd002_ses-1,sub-pd002_ses-2,0.19618414865528108,0.20199716251504665,0.19370537684257216,0.19929392040081603,0.00581301385976557,0.005588543558243869,0.006276321567415676,0.015463234742148677,0.006276239155983428,0.015462002380269358,0.009186913174733,0.00918576322428593,-0.0033738993149674303,-0.0035972196660420605
sub-pd003,sub-pd003_ses-1,sub-pd003_ses-2,0.18512494975403768,0.1933775253434533,0.18303872316759923,0.1910026007243737,0.008252575589415612,0.007963877556774468,0.016077023720240696,0.024370064613682182,0.016075638716953135,0.024365241298647457,0.008293040893441486,0.008289602581694321,-4.0465304025873866e-05,-0.0003257250249198533
sub-pd004,sub-pd004_ses-1,sub-pd004_ses-2,0.1706592037991629,0.18878388437752558,0.16902148862717775,0.18657268930486576,0.018124680578362667,0.017551200677688006,0.019593480362750857,0.0114859425671662,0.01959097340614039,0.011485437492309916,-0.008107537795584657,-0.008105535913830474,0.026232218373947326,0.02565673659151848
sub-pd007,sub-pd007_ses-1,sub-pd007_ses-2,0.15189604271868243,0.17051353244705028,0.1507385217842545,0.16887997536937358,0.018617489728367853,0.018141453585119066,0.014372680147538307,0.004467014495966568,0.014371690555611398,0.004466984784275941,-0.009905665651571739,-0.009904705771335457,0.02852315537993959,0.028046159356454523
sub-pd009,sub-pd009_ses-1,sub-pd009_ses-2,0.19127428851766717,0.20816123564690306,0.18897528273842082,0.20520583102976458,0.016886947129235885,0.016230548291343766,0.02316473879213201,0.014916644869299979,0.02316059624212318,0.014915538618635262,-0.008248093922832031,-0.00824505762348792,0.025135041052067916,0.024475605914831687
sub-pd010,sub-pd010_ses-1,sub-pd010_ses-2,0.18547767310305477,0.23279959489466404,0.18337960714251847,0.22868323227299012,0.04732192179160927,0.04530362513047165,0.014534045676110685,0.013641987899097053,0.014533022379317506,0.013641141686673944,-0.0008920577770136322,-0.0008918806926435617,0.0482139795686229,0.04619550582311521
sub-pd011,sub-pd011_ses-1,sub-pd011_ses-2,0.21955457588032812,0.2392727202458242,0.21609347796793058,0.2348086858921914,0.01971814436549607,0.018715207924260818,0.021152789656425794,0.026438038316338244,0.021149635349304818,0.02643188024065444,0.00528524865991245,0.005282244891349621,0.01443289570558362,0.013432963032911197
sub-pd012,sub-pd012_ses-1,sub-pd012_ses-2,0.21726322610112125,0.20954769294718095,0.21390804767263707,0.20653352680683865,-0.007715533153940302,-0.0073745208657984285,0.018643616500749683,0.013012131789899373,0.01864145672405421,0.01301139745411336,-0.00563148471085031,-0.005630059269940849,-0.0020840484430899916,-0.0017444615958575795
sub-pd013,sub-pd013_ses-1,sub-pd013_ses-2,0.20469218283097185,0.21221482765838137,0.20188050420064912,0.20908548015754486,0.007522644827409525,0.007204975956895732,0.01906073447885052,0.0107310914430444,0.01905842648561849,0.010730679544338033,-0.008329643035806121,-0.008327746941280457,0.015852287863215644,0.015532722898176188
sub-pd014,sub-pd014_ses-1,sub-pd014_ses-2,0.17843633674354253,0.19217007937817146,0.17656637250423873,0.18983893699012003,0.013733742634628926,0.013272564485881294,0.01838835462795275,0.015505704133485707,0.018386282347062792,0.01550446159039274,-0.002882650494467044,-0.0028818207566700515,0.01661639312909597,0.016154385242551347
sub-pd015,sub-pd015_ses-1,sub-pd015_ses-2,0.16327082706981444,0.2274210077573422,0.16183534173061723,0.2235796957410729,0.06415018068752776,0.061744354010455665,0.005923768736877643,0.013123531059509448,0.0059236994474561235,0.013122777702319063,0.007199762322631805,0.007199078254862939,0.05695041836489595,0.054545275755592725
sub-pd018,sub-pd018_ses-1,sub-pd018_ses-2,0.22014309595878545,0.20237691517378706,0.21665444487663527,0.19965856240361465,-0.017766180784998392,-0.016995882473020613,0.010074591207014124,0.011233592370572832,0.010074250372620783,0.011233119858612467,0.001159001163558708,0.0011588694859916843,-0.0189251819485571,-0.018154751959012297
sub-pd020,sub-pd020_ses-1,sub-pd020_ses-2,0.1786267538100886,0.19715432858803025,0.1767508469840168,0.19463897816035436,0.018527574777941647,0.017888131176337557,0.012062000810289368,0.025553192198675502,0.012061415870005632,0.025547631865526253,0.013491191388386134,0.01348621599552062,0.005036383389555513,0.004401915180816937
sub-pd023,sub-pd023_ses-1,sub-pd023_ses-2,0.17032592373909208,0.18938063913916245,0.16869771157286498,0.18714860722016918,0.019054715400070366,0.018450895647304205,0.028659696360316712,0.02641207592245652,0.028651852120981817,0.026405935967452998,-0.0022476204378601913,-0.0022459161535288187,0.021302335837930557,0.020696811800833024
sub-pd024,sub-pd024_ses-1,sub-pd024_ses-2,0.1767759098698108,0.18344010088002052,0.17495724029444146,0.18140982127893598,0.006664191010209736,0.006452580984494527,0.019461716889914306,0.015077882271579978,0.01945926016570781,0.015076739760823084,-0.004383834618334328,-0.004382520404884727,0.011048025628544064,0.010835101389379254
sub-pd028,sub-pd028_ses-1,sub-pd028_ses-2,0.24012553304394038,0.2556987842036296,0.2356143172339688,0.2502680798774306,0.015573251159689244,0.014653762643461798,0.01770560142379404,0.021901852105480304,0.01770375148934136,0.021898350735945694,0.004196250681686265,0.004194599246604334,0.01137700047800298,0.010459163396857464
