connectivity_metric,label_a,label_b,subject_a,subject_b,session_a,session_b,state_a,state_b,pair_class,pair_label,same_subject,comparison_metric,comparison_kind,higher_is_more_similar,raw_score,oriented_score
mutual_information_ksg,sub-pd001_ses-1,sub-pd001_ses-2,sub-pd001,sub-pd001,1,2,off,on,between_condition,off-on,True,laplacian_spectral_distance_signed,graph_distance,False,0.027164398376552042,-0.027164398376552042
mutual_information_ksg,sub-pd001_ses-1,sub-pd002_ses-1,sub-pd001,sub-pd002,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.015880760671175085,-0.015880760671175085
mutual_information_ksg,sub-pd001_ses-1,sub-pd002_ses-2,sub-pd001,sub-pd002,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.018763658587132227,-0.018763658587132227
mutual_information_ksg,sub-pd001_ses-1,sub-pd003_ses-1,sub-pd001,sub-pd003,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.02326134774891588,-0.02326134774891588
mutual_information_ksg,sub-pd001_ses-1,sub-pd003_ses-2,sub-pd001,sub-pd003,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.019214816372203528,-0.019214816372203528
mutual_information_ksg,sub-pd001_ses-1,sub-pd004_ses-1,sub-pd001,sub-pd004,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.020945768434271955,-0.020945768434271955
mutual_information_ksg,sub-pd001_ses-1,sub-pd004_ses-2,sub-pd001,sub-pd004,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.025259006487016726,-0.025259006487016726
mutual_information_ksg,sub-pd001_ses-1,sub-pd007_ses-1,sub-pd001,sub-pd007,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.012259132491398303,-0.012259132491398303
mutual_information_ksg,sub-pd001_ses-1,sub-pd007_ses-2,sub-pd001,sub-pd007,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.024648149678975693,-0.024648149678975693
mutual_information_ksg,sub-pd001_ses-1,sub-pd009_ses-1,sub-pd001,sub-pd009,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.019031801984707435,-0.019031801984707435
mutual_information_ksg,sub-pd001_ses-1,sub-pd009_ses-2,sub-pd001,sub-pd009,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.015348292027157123,-0.015348292027157123
mutual_information_ksg,sub-pd001_ses-1,sub-pd010_ses-1,sub-pd001,sub-pd010,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.023958808848798037,-0.023958808848798037
mutual_information_ksg,sub-pd001_ses-1,sub-pd010_ses-2,sub-pd001,sub-pd010,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.019140846563631575,-0.019140846563631575
mutual_information_ksg,sub-pd001_ses-1,sub-pd011_ses-1,sub-pd001,sub-pd011,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.02293288527450817,-0.02293288527450817
mutual_information_ksg,sub-pd001_ses-1,sub-pd011_ses-2,sub-pd001,sub-pd011,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.01629173422315441,-0.01629173422315441
mutual_information_ksg,sub-pd001_ses-1,sub-pd012_ses-1,sub-pd001,sub-pd012,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.029221748892450966,-0.029221748892450966
mutual_information_ksg,sub-pd001_ses-1,sub-pd012_ses-2,sub-pd001,sub-pd012,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.021786909105964335,-0.021786909105964335
mutual_information_ksg,sub-pd001_ses-1,sub-pd013_ses-1,sub-pd001,sub-pd013,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.02474279377313854,-0.02474279377313854
mutual_information_ksg,sub-pd001_ses-1,sub-pd013_ses-2,sub-pd001,sub-pd013,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.019027277540859238,-0.019027277540859238
mutual_information_ksg,sub-pd001_ses-1,sub-pd014_ses-1,sub-pd001,sub-pd014,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.018803063241076296,-0.018803063241076296
mutual_information_ksg,sub-pd001_ses-1,sub-pd014_ses-2,sub-pd001,sub-pd014,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.02175981332736936,-0.02175981332736936
mutual_information_ksg,sub-pd001_ses-1,sub-pd015_ses-1,sub-pd001,sub-pd015,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.02134410483942123,-0.02134410483942123
mutual_information_ksg,sub-pd001_ses-1,sub-pd015_ses-2,sub-pd001,sub-pd015,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.0322859732245568,-0.0322859732245568
mutual_information_ksg,sub-pd001_ses-1,sub-pd017_ses-2,sub-pd001,sub-pd017,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.024529824004513964,-0.024529824004513964
mutual_information_ksg,sub-pd001_ses-1,sub-pd018_ses-1,sub-pd001,sub-pd018,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.019003989136845794,-0.019003989136845794
mutual_information_ksg,sub-pd001_ses-1,sub-pd018_ses-2,sub-pd001,sub-pd018,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.02619203891422938,-0.02619203891422938
mutual_information_ksg,sub-pd001_ses-1,sub-pd020_ses-1,sub-pd001,sub-pd020,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.017461848660107936,-0.017461848660107936
mutual_information_ksg,sub-pd001_ses-1,sub-pd020_ses-2,sub-pd001,sub-pd020,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.01956971048007942,-0.01956971048007942
mutual_information_ksg,sub-pd001_ses-1,sub-pd023_ses-1,sub-pd001,sub-pd023,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.02360266214850594,-0.02360266214850594
mutual_information_ksg,sub-pd001_ses-1,sub-pd023_ses-2,sub-pd001,sub-pd023,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.01681574173441594,-0.01681574173441594
mutual_information_ksg,sub-pd001_ses-1,sub-pd024_ses-1,sub-pd001,sub-pd024,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.01904101513003621,-0.01904101513003621
mutual_information_ksg,sub-pd001_ses-1,sub-pd024_ses-2,sub-pd001,sub-pd024,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.02623950245565575,-0.02623950245565575
mutual_information_ksg,sub-pd001_ses-1,sub-pd028_ses-1,sub-pd001,sub-pd028,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.01705760840741688,-0.01705760840741688
mutual_information_ksg,sub-pd001_ses-1,sub-pd028_ses-2,sub-pd001,sub-pd028,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.016604288175789062,-0.016604288175789062
mutual_information_ksg,sub-pd001_ses-2,sub-pd002_ses-1,sub-pd001,sub-pd002,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.024539182655142985,-0.024539182655142985
mutual_information_ksg,sub-pd001_ses-2,sub-pd002_ses-2,sub-pd001,sub-pd002,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.02351216820408976,-0.02351216820408976
mutual_information_ksg,sub-pd001_ses-2,sub-pd003_ses-1,sub-pd001,sub-pd003,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.021197302210335334,-0.021197302210335334
mutual_information_ksg,sub-pd001_ses-2,sub-pd003_ses-2,sub-pd001,sub-pd003,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.018117053649930895,-0.018117053649930895
mutual_information_ksg,sub-pd001_ses-2,sub-pd004_ses-1,sub-pd001,sub-pd004,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.035166989654119435,-0.035166989654119435
mutual_information_ksg,sub-pd001_ses-2,sub-pd004_ses-2,sub-pd001,sub-pd004,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.019276178262978932,-0.019276178262978932
mutual_information_ksg,sub-pd001_ses-2,sub-pd007_ses-1,sub-pd001,sub-pd007,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.02517826409436376,-0.02517826409436376
mutual_information_ksg,sub-pd001_ses-2,sub-pd007_ses-2,sub-pd001,sub-pd007,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.0344330630905883,-0.0344330630905883
mutual_information_ksg,sub-pd001_ses-2,sub-pd009_ses-1,sub-pd001,sub-pd009,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.032156406394886344,-0.032156406394886344
mutual_information_ksg,sub-pd001_ses-2,sub-pd009_ses-2,sub-pd001,sub-pd009,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.02931089305600679,-0.02931089305600679
mutual_information_ksg,sub-pd001_ses-2,sub-pd010_ses-1,sub-pd001,sub-pd010,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.029359192774705386,-0.029359192774705386
mutual_information_ksg,sub-pd001_ses-2,sub-pd010_ses-2,sub-pd001,sub-pd010,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.02750140794799941,-0.02750140794799941
mutual_information_ksg,sub-pd001_ses-2,sub-pd011_ses-1,sub-pd001,sub-pd011,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.037230490600510764,-0.037230490600510764
mutual_information_ksg,sub-pd001_ses-2,sub-pd011_ses-2,sub-pd001,sub-pd011,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.02485328916877745,-0.02485328916877745
mutual_information_ksg,sub-pd001_ses-2,sub-pd012_ses-1,sub-pd001,sub-pd012,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.027733036126725303,-0.027733036126725303
mutual_information_ksg,sub-pd001_ses-2,sub-pd012_ses-2,sub-pd001,sub-pd012,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.016300930140813505,-0.016300930140813505
mutual_information_ksg,sub-pd001_ses-2,sub-pd013_ses-1,sub-pd001,sub-pd013,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.03662314553369634,-0.03662314553369634
mutual_information_ksg,sub-pd001_ses-2,sub-pd013_ses-2,sub-pd001,sub-pd013,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.02086264511356327,-0.02086264511356327
mutual_information_ksg,sub-pd001_ses-2,sub-pd014_ses-1,sub-pd001,sub-pd014,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.021251642967126203,-0.021251642967126203
mutual_information_ksg,sub-pd001_ses-2,sub-pd014_ses-2,sub-pd001,sub-pd014,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.01905747176220788,-0.01905747176220788
mutual_information_ksg,sub-pd001_ses-2,sub-pd015_ses-1,sub-pd001,sub-pd015,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.027598844277310616,-0.027598844277310616
mutual_information_ksg,sub-pd001_ses-2,sub-pd015_ses-2,sub-pd001,sub-pd015,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.03446207913247473,-0.03446207913247473
mutual_information_ksg,sub-pd001_ses-2,sub-pd017_ses-2,sub-pd001,sub-pd017,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.03821175714714896,-0.03821175714714896
mutual_information_ksg,sub-pd001_ses-2,sub-pd018_ses-1,sub-pd001,sub-pd018,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.03180710751240549,-0.03180710751240549
mutual_information_ksg,sub-pd001_ses-2,sub-pd018_ses-2,sub-pd001,sub-pd018,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.04385964937365534,-0.04385964937365534
mutual_information_ksg,sub-pd001_ses-2,sub-pd020_ses-1,sub-pd001,sub-pd020,2,1,on,off,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.023698222059941994,-0.023698222059941994
mutual_information_ksg,sub-pd001_ses-2,sub-pd020_ses-2,sub-pd001,sub-pd020,2,2,on,on,within_condition,on-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.03617039145397436,-0.03617039145397436
